-11,-87,-85,-76,-17,-3,-2,5
38,68,-35,22,32,-15,-16,12
-13,-26,28,-61,-12,7,-10,4
107,-20,8,35,-7,10,26,23
74,-35,46,38,23,13,29,53
127,-103,-29,-67,-16,-6,-21,21
62,-66,-20,50,29,-5,-15,24
-10,25,-49,-22,-12,22,25,-1
-58,-50,80,-58,-19,2,4,-57
-63,121,-4,29,23,-6,-15,27
23,24,8,49,-3,11,-10,1
-85,-103,-88,-4,-10,-16,-67,-19
-8,101,-55,-35,-18,3,21,-56
-46,14,56,5,0,-18,-22,25
58,-50,58,-15,16,-5,-37,-41
-128,-8,-64,14,-5,-12,-35,-14
-30,46,100,67,-10,6,31,12
-38,-58,-40,-39,-14,-17,-16,-43
-52,6,10,47,18,6,11,12
20,18,59,19,13,-17,11,-6
-49,7,-12,12,6,-12,7,-10
-58,-92,18,-66,-6,15,-1,-28
-14,-19,36,-54,-14,0,-10,4
-62,-30,28,-5,12,0,-9,14
-72,-41,-23,13,-6,-12,-26,8
69,-25,-95,22,-3,14,23,-14
-49,-44,55,58,-8,-4,-18,-30
-13,60,-34,-63,-7,-4,9,-16
-50,62,-26,8,14,6,-16,10
98,-6,64,44,5,9,33,37
-35,-100,27,-48,-1,1,-8,-40
-75,-35,-80,19,4,0,42,2
127,3,124,78,-15,-16,-11,-10
-37,-33,-118,-31,2,0,7,-10
122,33,1,13,-20,8,-13,22
37,12,56,-24,10,8,13,4
65,89,-58,-66,-18,-21,-14,-2
-95,-4,18,39,4,35,80,-35
127,-9,-68,-47,-9,-19,28,71
32,19,-62,-42,-3,-3,-46,-14
59,11,12,7,6,3,24,11
-33,-2,-26,-11,-5,-11,-22,-6
-61,-55,-7,18,-1,6,6,-24
127,76,38,20,-8,-16,-25,-2
-116,-128,-100,-104,-22,10,8,-12
-18,126,-16,-20,9,-19,-57,22
17,29,79,43,9,4,24,2
51,35,-95,-68,15,7,4,57
69,40,44,37,16,12,8,17
57,-63,9,-8,-14,-7,-21,-9
-128,-36,64,22,-10,-14,-4,-9
11,89,100,68,33,13,26,24
-92,-23,-21,-2,-6,-13,-8,-13
91,66,-9,-16,0,-1,2,9
73,-17,4,21,1,3,10,7
-2,-22,-33,-72,-2,4,-9,17
-73,42,-29,37,-10,16,15,-72
-17,72,6,60,39,-9,-18,43
91,-96,-57,-22,-11,13,-11,14
-128,25,21,40,-4,-22,-2,-20
32,-26,67,10,5,7,23,27
-65,91,-50,15,-15,-3,-3,-22
-60,-5,44,0,-19,-7,-10,-54
-43,-23,-13,29,-5,-3,28,-48
-33,127,18,-5,7,-8,-25,30
42,-32,22,8,-11,16,21,10
-55,-37,7,62,29,-3,-25,-14
67,-12,15,11,-29,1,-3,0
1,-108,-21,-21,-1,7,32,16
-30,13,58,-36,-24,-5,-8,-20
-101,61,-55,-2,15,-1,3,-2
53,24,41,20,0,3,-14,7
107,88,-46,-10,-10,-8,22,8
-97,-53,63,33,27,-9,-31,7
122,25,11,-86,-16,5,34,24
61,-13,46,62,19,3,5,11
4,17,23,19,5,10,-4,16
18,12,-80,-21,-43,-9,-29,-34
68,127,-3,-28,12,8,14,-2
-128,-70,-17,-42,6,-1,5,-6
61,9,-92,-34,-4,-20,-41,5
-19,-60,16,24,4,-6,-11,13
-77,-67,44,48,28,2,12,16
-81,-28,-47,-31,-36,-5,8,-37
-49,-87,-8,-15,-6,0,11,-36
-30,46,-2,-15,7,-10,0,-16
39,108,21,31,13,1,4,10
-31,19,16,-5,-11,-1,-1,0
-46,-80,85,64,22,-2,3,-20
25,-39,12,4,3,16,-6,23
57,-50,3,-31,-20,0,-6,-16
69,-20,-3,-22,9,1,-12,-4
-32,55,75,10,7,-15,-34,8
4,-7,-78,-40,-5,2,32,-8
-105,78,31,6,-4,-12,-9,-7
54,-18,46,9,2,-6,-29,13
-128,19,-73,-55,-10,11,35,8
56,-10,82,14,16,-10,20,11
-128,-63,-58,-41,-33,-14,-82,-32
-90,20,-20,10,18,-9,36,-6
36,-50,68,72,33,19,-7,2
21,-51,-66,-3,-10,3,-19,-19
-50,112,3,21,-6,-5,24,-6
-48,-78,-67,-43,-31,2,-11,-13
108,2,21,3,21,3,8,59
32,29,-1,-23,-1,2,-34,-18
-73,-111,-7,5,-3,-19,15,22
-76,18,-19,-19,5,11,8,-12
-74,-14,-22,-17,-14,-11,-1,-1
65,-43,58,32,-3,-2,7,9
18,24,-45,-97,-24,-21,-35,-5
43,-25,-1,17,9,5,-16,35
